Date,lake depth
2018-11-11,176.86
2018-11-12,176.86
2018-11-13,176.86
2018-11-14,176.86
2018-11-15,176.86
2018-11-16,176.86
2018-11-17,176.86
2018-11-18,176.86
2018-11-19,176.86
2018-11-20,176.86
2018-11-21,176.86
2018-11-22,176.86
2018-11-23,176.86
2018-11-24,176.86
2018-11-25,176.86
2018-11-26,176.86
2018-11-27,176.86
2018-11-28,176.86
2018-11-29,176.86
2018-11-30,176.86
2018-12-01,176.83
2018-12-02,176.83
2018-12-03,176.83
2018-12-04,176.83
2018-12-05,176.83
2018-12-06,176.83
2018-12-07,176.83
2018-12-08,176.83
2018-12-09,176.83
2018-12-10,176.83
2018-12-11,176.83
2018-12-12,176.83
2018-12-13,176.83
2018-12-14,176.83
2018-12-15,176.83
2018-12-16,176.83
2018-12-17,176.83
2018-12-18,176.83
2018-12-19,176.83
2018-12-20,176.83
2018-12-21,176.83
2018-12-22,176.83
2018-12-23,176.83
2018-12-24,176.83
2018-12-25,176.83
2018-12-26,176.83
2018-12-27,176.83
2018-12-28,176.83
2018-12-29,176.83
2018-12-30,176.83
2018-12-31,176.83
